employee_id,date_soumission,montant,categorie,departement,ville,nb_justificatifs,anciennete_ans,salaire_mensuel,manager_approval,fraude
1129,2022-01-06 18:00:00,110.6,Transport,Finance,Toulouse,3,1,3059,1,0
1191,2022-01-07 00:00:00,237.34,Hébergement,Marketing,Marseille,0,12,3673,1,0
1187,2022-01-07 06:00:00,323.61,Fournitures,Direction,Bordeaux,0,15,4378,0,1
1020,2022-01-07 12:00:00,63.42,Hébergement,Ventes,Toulouse,2,11,4755,1,0
1160,2022-01-07 18:00:00,92.94,Téléphone,Ventes,Paris,3,4,3584,1,0
1057,2022-01-08 00:00:00,80.3,Repas,Finance,Bordeaux,1,18,6414,1,0
1021,2022-01-08 06:00:00,2.0,Téléphone,IT,Toulouse,3,2,7736,1,0
1088,2022-01-08 12:00:00,52.63,Fournitures,Ventes,Marseille,1,19,2738,1,0
1048,2022-01-08 18:00:00,92.2,Formation,RH,Dubai,2,1,5414,1,0
1058,2022-01-09 00:00:00,79.42,Téléphone,RH,Dubai,0,16,4595,0,1
1169,2022-01-09 06:00:00,191.98,Téléphone,Marketing,Marseille,2,10,3971,1,0
1187,2022-01-09 12:00:00,72.87,Repas,Ventes,Toulouse,0,0,7912,0,1
1014,2022-01-09 18:00:00,100.82,Hébergement,Marketing,Zurich,0,18,4545,1,0
1189,2022-01-10 00:00:00,84.21,Transport,Ventes,Lyon,3,7,7112,1,0
1189,2022-01-10 06:00:00,202.42,Repas,Finance,Lyon,3,10,6183,0,0
1174,2022-01-10 12:00:00,298.14,Formation,Direction,Paris,0,7,2704,1,0
1189,2022-01-10 18:00:00,113.86,Repas,Ventes,Londres,1,16,6100,1,0
1050,2022-01-11 00:00:00,233.69,Téléphone,IT,Toulouse,1,19,4637,0,0
1107,2022-01-11 06:00:00,52.81,Fournitures,RH,Paris,3,5,7727,1,0
1054,2022-01-11 12:00:00,116.93,Transport,Finance,Singapour,2,6,3713,1,0
1063,2022-01-11 18:00:00,63.52,Transport,Direction,Toulouse,1,12,6334,0,0
1130,2022-01-12 00:00:00,80.22,Hébergement,Direction,Londres,0,6,5591,1,0
1050,2022-01-12 06:00:00,197.75,Transport,RH,Paris,3,10,3882,0,0
1134,2022-01-12 12:00:00,320.13,Repas,Direction,Marseille,3,9,6180,1,0
1020,2022-01-12 18:00:00,19.43,Formation,Marketing,Toulouse,0,7,4179,0,1
1072,2022-01-13 00:00:00,151.03,Fournitures,Finance,Marseille,2,9,2506,0,0
1166,2022-01-13 06:00:00,130.89,Hébergement,IT,Toulouse,0,10,4385,1,0
1017,2022-01-13 12:00:00,18.91,Transport,RH,Bordeaux,2,19,5998,1,0
1131,2022-01-13 18:00:00,35.72,Hébergement,Ventes,Lyon,3,16,2795,1,0
1088,2022-01-14 00:00:00,55.88,Repas,Ventes,Bordeaux,2,10,2763,1,0
1059,2022-01-14 06:00:00,27.4,Hébergement,Ventes,Paris,0,15,4637,0,1
1013,2022-01-14 12:00:00,41.9,Transport,Finance,Lyon,3,4,7448,0,0
1008,2022-01-14 18:00:00,46.71,Hébergement,IT,Paris,1,9,6365,1,0
1089,2022-01-15 00:00:00,61.35,Hébergement,Direction,Lyon,3,19,7960,1,0
1052,2022-01-15 06:00:00,207.58,Téléphone,IT,Lyon,0,4,7948,0,1
1129,2022-01-15 12:00:00,127.26,Transport,IT,Bordeaux,0,19,6996,1,0
1083,2022-01-15 18:00:00,642.97,Transport,RH,Toulouse,3,8,6952,1,0
1091,2022-01-16 00:00:00,80.35,Transport,Finance,Lyon,3,2,5046,1,0
1110,2022-01-16 06:00:00,210.28,Hébergement,Ventes,Toulouse,3,2,7429,1,0
1187,2022-01-16 12:00:00,307.74,Repas,RH,Paris,2,9,7030,1,0
1198,2022-01-16 18:00:00,170.44,Repas,Direction,Paris,1,6,2618,1,0
1171,2022-01-17 00:00:00,79.62,Repas,IT,Toulouse,2,1,7618,0,0
1007,2022-01-17 06:00:00,210.12,Repas,Ventes,Toulouse,0,7,4895,1,0
1174,2022-01-17 12:00:00,34.16,Hébergement,Finance,Bordeaux,3,11,5867,1,0
1034,2022-01-17 18:00:00,59.52,Repas,Marketing,Lyon,2,8,4202,0,0
1080,2022-01-18 00:00:00,118.68,Transport,IT,Toulouse,2,10,3029,1,0
1163,2022-01-18 06:00:00,128.49,Hébergement,IT,Toulouse,0,18,6174,1,0
1049,2022-01-18 12:00:00,3.36,Fournitures,IT,New York,2,19,2802,1,0
1103,2022-01-18 18:00:00,435.38,Fournitures,IT,Paris,0,16,6567,0,1
1131,2022-01-19 00:00:00,178.92,Repas,Ventes,Marseille,2,12,6751,1,0
1001,2022-01-19 06:00:00,102.69,Transport,Finance,Toulouse,1,0,6468,1,0
1133,2022-01-19 12:00:00,405.74,Transport,RH,Zurich,0,0,2513,1,0
1053,2022-01-19 18:00:00,86.73,Formation,Ventes,Paris,1,7,5303,1,0
1105,2022-01-20 00:00:00,590.11,Transport,Finance,Marseille,2,12,3388,1,0
1003,2022-01-20 06:00:00,107.7,Transport,RH,Lyon,1,5,6028,1,0
1053,2022-01-20 12:00:00,18.2,Transport,IT,Marseille,1,2,3696,1,0
1190,2022-01-20 18:00:00,217.1,Hébergement,Finance,Paris,1,15,7040,1,0
1145,2022-01-21 00:00:00,170.4,Transport,IT,Paris,2,9,4669,0,0
1043,2022-01-21 06:00:00,222.41,Repas,Finance,Marseille,0,6,6068,1,0
1161,2022-01-21 12:00:00,453.75,Repas,Direction,Lyon,2,2,4731,1,0
1189,2022-01-21 18:00:00,224.74,Téléphone,Marketing,Paris,2,13,4343,1,0
1013,2022-01-22 00:00:00,141.76,Transport,IT,Lyon,2,15,6151,1,0
1094,2022-01-22 06:00:00,292.06,Hébergement,IT,Paris,0,3,6376,1,0
1047,2022-01-22 12:00:00,167.78,Repas,IT,New York,3,12,5218,0,0
1014,2022-01-22 18:00:00,78.67,Repas,Direction,Marseille,2,0,2548,0,0
1199,2022-01-23 00:00:00,325.23,Repas,Ventes,Bordeaux,2,4,2680,1,0
1189,2022-01-23 06:00:00,37.64,Fournitures,RH,Lyon,0,17,6378,1,0
1039,2022-01-23 12:00:00,188.1,Transport,IT,Dubai,3,11,3917,1,0
1081,2022-01-23 18:00:00,320.01,Fournitures,IT,Marseille,3,10,5964,1,0
1110,2022-01-24 00:00:00,197.13,Repas,Ventes,Marseille,3,8,5919,1,0
1052,2022-01-24 06:00:00,179.24,Transport,Ventes,Marseille,3,6,3029,1,0
1023,2022-01-24 12:00:00,209.54,Téléphone,Marketing,Toulouse,0,13,7179,1,0
1153,2022-01-24 18:00:00,93.84,Repas,Finance,Marseille,0,2,3786,1,0
1187,2022-01-25 00:00:00,310.92,Transport,IT,Lyon,3,15,4690,0,0
1123,2022-01-25 06:00:00,34.12,Transport,Finance,Paris,1,6,3206,1,0
1040,2022-01-25 12:00:00,20.44,Transport,Ventes,Toulouse,0,0,5717,1,0
1156,2022-01-25 18:00:00,50.43,Repas,Ventes,Marseille,1,5,2793,1,0
1014,2022-01-26 00:00:00,113.76,Transport,Marketing,Paris,1,5,4061,1,0
1044,2022-01-26 06:00:00,107.17,Transport,RH,Lyon,3,9,7017,1,0
1064,2022-01-26 12:00:00,257.72,Transport,Direction,Marseille,3,11,5111,1,0
1088,2022-01-26 18:00:00,77.77,Repas,Direction,Bordeaux,2,18,3160,1,0
1070,2022-01-27 00:00:00,99.35,Fournitures,Direction,Paris,1,5,5678,1,0
1008,2022-01-27 06:00:00,2.02,Fournitures,Ventes,Lyon,2,13,5889,0,0
1087,2022-01-27 12:00:00,79.08,Transport,IT,Bordeaux,3,2,4606,1,0
1128,2022-01-27 18:00:00,156.52,Téléphone,Marketing,Toulouse,1,9,5563,1,0
1135,2022-01-28 00:00:00,2.34,Repas,RH,Lyon,0,8,5340,1,0
1062,2022-01-28 06:00:00,49.46,Téléphone,Direction,Bordeaux,2,19,5996,1,0
1138,2022-01-28 12:00:00,34.97,Hébergement,Marketing,Marseille,3,18,5078,1,0
1080,2022-01-28 18:00:00,6.43,Hébergement,Ventes,Marseille,1,14,4551,1,0
1135,2022-01-29 00:00:00,97.88,Fournitures,Direction,Singapour,3,8,4909,0,0
1162,2022-01-29 06:00:00,30.08,Transport,RH,New York,2,18,5453,1,0
1162,2022-01-29 12:00:00,203.85,Repas,Finance,Lyon,3,7,2868,1,0
1032,2022-01-29 18:00:00,282.51,Fournitures,RH,Paris,3,3,3038,1,0
1122,2022-01-30 00:00:00,118.31,Fournitures,IT,Lyon,0,4,5427,1,0
1004,2022-01-30 06:00:00,600.19,Formation,Direction,Paris,3,18,4893,1,0
1040,2022-01-30 12:00:00,89.81,Repas,Direction,Paris,1,13,3230,1,0
1027,2022-01-30 18:00:00,108.04,Transport,Finance,Lyon,1,17,3396,0,0
1134,2022-01-31 00:00:00,679.48,Transport,Finance,New York,0,18,7663,1,1
1071,2022-01-31 06:00:00,39.51,Repas,Direction,Londres,1,5,7159,1,0
1011,2022-01-31 12:00:00,428.52,Repas,IT,Marseille,3,4,4868,1,0
1161,2022-01-31 18:00:00,6.57,Transport,Finance,Marseille,3,10,7059,1,0
1032,2022-02-01 00:00:00,88.69,Transport,Ventes,Paris,1,4,7630,1,0
1047,2022-02-01 06:00:00,10.89,Repas,Direction,Paris,2,7,5180,1,0
1150,2022-02-01 12:00:00,195.98,Fournitures,RH,Paris,3,4,4880,1,0
1061,2022-02-01 18:00:00,140.63,Formation,RH,Bordeaux,1,10,2514,0,0
1036,2022-02-02 00:00:00,183.95,Fournitures,IT,Paris,3,12,5628,1,0
1098,2022-02-02 06:00:00,70.38,Fournitures,Ventes,Londres,3,5,3853,1,0
1171,2022-02-02 12:00:00,69.18,Repas,Finance,Toulouse,0,4,5635,1,0
1103,2022-02-02 18:00:00,6.96,Formation,Direction,Paris,1,17,4777,1,0
1034,2022-02-03 00:00:00,64.6,Repas,RH,Paris,3,9,2510,1,0
1192,2022-02-03 06:00:00,397.37,Téléphone,RH,Toulouse,2,15,4156,1,0
1100,2022-02-03 12:00:00,71.52,Téléphone,RH,Dubai,1,13,3747,1,0
1174,2022-02-03 18:00:00,267.01,Téléphone,RH,Toulouse,2,14,4160,1,0
1130,2022-02-04 00:00:00,277.08,Hébergement,Marketing,Lyon,1,2,4263,0,0
1000,2022-02-04 06:00:00,70.08,Transport,IT,Marseille,2,2,3041,1,0
1004,2022-02-04 12:00:00,149.95,Transport,Finance,Lyon,2,11,4029,0,0
1141,2022-02-04 18:00:00,15.03,Transport,Direction,Zurich,1,14,3680,1,0
1102,2022-02-05 00:00:00,16.42,Transport,Direction,Toulouse,0,10,5188,1,0
1026,2022-02-05 06:00:00,7.48,Transport,Direction,Toulouse,0,9,5117,1,0
1136,2022-02-05 12:00:00,130.49,Hébergement,Finance,Lyon,1,19,5254,1,0
1014,2022-02-05 18:00:00,83.29,Repas,IT,Toulouse,3,14,3428,1,0
1089,2022-02-06 00:00:00,119.12,Repas,Ventes,Lyon,1,17,3926,1,0
1041,2022-02-06 06:00:00,110.43,Transport,IT,Paris,1,13,6159,0,0
1123,2022-02-06 12:00:00,64.66,Repas,RH,Lyon,3,5,7708,1,0
1178,2022-02-06 18:00:00,169.74,Repas,RH,Dubai,1,13,4733,1,0
1062,2022-02-07 00:00:00,213.13,Repas,IT,Toulouse,1,15,6409,1,0
1095,2022-02-07 06:00:00,2.21,Téléphone,IT,Paris,3,1,7490,1,0
1051,2022-02-07 12:00:00,34.84,Transport,Finance,Londres,3,18,4561,1,0
1095,2022-02-07 18:00:00,187.36,Transport,Finance,Lyon,0,4,6597,1,0
1131,2022-02-08 00:00:00,73.32,Hébergement,Marketing,Paris,2,10,5063,1,0
1150,2022-02-08 06:00:00,162.92,Transport,Direction,Lyon,2,10,5303,0,0
1142,2022-02-08 12:00:00,63.92,Repas,Marketing,Marseille,0,18,4793,1,0
1170,2022-02-08 18:00:00,74.33,Hébergement,Direction,Marseille,0,17,4125,1,0
1028,2022-02-09 00:00:00,25.92,Hébergement,RH,Marseille,2,7,3071,1,0
1035,2022-02-09 06:00:00,44.81,Transport,Marketing,Toulouse,0,11,7031,0,1
1012,2022-02-09 12:00:00,139.49,Hébergement,Marketing,Lyon,1,8,4900,1,0
1159,2022-02-09 18:00:00,85.15,Repas,Ventes,Bordeaux,0,2,4211,1,0
1070,2022-02-10 00:00:00,223.28,Repas,IT,Paris,0,5,2882,1,0
1186,2022-02-10 06:00:00,287.18,Transport,Finance,Bordeaux,0,0,3583,1,0
1085,2022-02-10 12:00:00,117.02,Transport,Marketing,Toulouse,0,16,4449,1,0
1027,2022-02-10 18:00:00,212.99,Transport,Finance,Toulouse,2,2,5017,1,0
1065,2022-02-11 00:00:00,54.99,Transport,Direction,Marseille,3,17,7702,1,0
1169,2022-02-11 06:00:00,80.41,Téléphone,Marketing,Toulouse,2,17,6669,1,0
1044,2022-02-11 12:00:00,187.12,Transport,Direction,Paris,2,1,7930,1,0
1061,2022-02-11 18:00:00,73.22,Repas,Marketing,Londres,3,3,5997,1,0
1184,2022-02-12 00:00:00,133.19,Téléphone,RH,Paris,2,0,7996,0,0
1133,2022-02-12 06:00:00,30.75,Transport,Ventes,Paris,1,9,5814,1,0
1027,2022-02-12 12:00:00,137.36,Hébergement,Direction,Marseille,3,4,7430,1,0
1027,2022-02-12 18:00:00,296.55,Formation,IT,Toulouse,1,4,5175,1,0
1107,2022-02-13 00:00:00,304.47,Fournitures,IT,Paris,2,8,5894,0,0
1043,2022-02-13 06:00:00,193.29,Repas,RH,Dubai,2,13,3703,1,0
1083,2022-02-13 12:00:00,205.42,Fournitures,RH,Singapour,3,12,3273,1,0
1029,2022-02-13 18:00:00,122.44,Fournitures,IT,Toulouse,2,12,5556,1,0
1189,2022-02-14 00:00:00,131.8,Hébergement,Direction,Marseille,0,0,4813,1,0
1074,2022-02-14 06:00:00,21.52,Téléphone,IT,Toulouse,1,16,5097,1,0
1127,2022-02-14 12:00:00,88.01,Repas,Ventes,Lyon,1,19,3903,1,0
1091,2022-02-14 18:00:00,89.89,Repas,Marketing,Marseille,0,7,6672,1,0
1189,2022-02-15 00:00:00,477.3,Formation,Ventes,Dubai,3,2,7668,1,0
1128,2022-02-15 06:00:00,84.6,Fournitures,IT,New York,3,16,5561,1,0
1120,2022-02-15 12:00:00,119.56,Hébergement,Marketing,Dubai,0,11,5825,1,0
1026,2022-02-15 18:00:00,114.29,Transport,IT,Lyon,0,17,3903,1,0
1189,2022-02-16 00:00:00,151.9,Repas,Ventes,Paris,1,13,5820,1,0
1120,2022-02-16 06:00:00,206.89,Repas,Ventes,Lyon,0,10,3369,1,0
1115,2022-02-16 12:00:00,38.24,Repas,Direction,Lyon,0,15,3583,1,0
1002,2022-02-16 18:00:00,112.85,Formation,Direction,Lyon,0,3,7976,1,0
1102,2022-02-17 00:00:00,262.23,Téléphone,Ventes,Lyon,2,17,3473,1,0
1197,2022-02-17 06:00:00,93.3,Hébergement,Marketing,Toulouse,0,6,3725,1,0
1199,2022-02-17 12:00:00,48.95,Transport,Direction,Bordeaux,2,10,4302,1,0
1154,2022-02-17 18:00:00,159.51,Repas,Direction,Toulouse,1,15,5464,1,0
1136,2022-02-18 00:00:00,260.39,Repas,Finance,Bordeaux,1,15,3688,1,0
1061,2022-02-18 06:00:00,9.78,Repas,Finance,Paris,3,2,7647,1,0
1164,2022-02-18 12:00:00,224.95,Repas,Direction,Paris,1,8,5943,1,0
1050,2022-02-18 18:00:00,258.6,Repas,IT,Bordeaux,3,7,6434,1,0
1171,2022-02-19 00:00:00,92.85,Hébergement,Marketing,Marseille,2,6,6909,1,0
1151,2022-02-19 06:00:00,613.9,Hébergement,RH,Marseille,0,16,7903,1,1
1058,2022-02-19 12:00:00,231.76,Repas,Direction,Paris,1,10,3821,1,0
1117,2022-02-19 18:00:00,222.86,Transport,Finance,Lyon,0,3,4523,1,0
1159,2022-02-20 00:00:00,206.65,Hébergement,Marketing,Toulouse,3,3,7968,1,0
1095,2022-02-20 06:00:00,24.49,Hébergement,Marketing,Londres,2,4,7231,0,0
1179,2022-02-20 12:00:00,36.74,Repas,Finance,Dubai,1,7,7826,1,0
1112,2022-02-20 18:00:00,93.54,Transport,Marketing,Marseille,0,9,7012,0,1
1061,2022-02-21 00:00:00,45.98,Fournitures,Marketing,Marseille,3,16,2938,0,0
1185,2022-02-21 06:00:00,80.48,Repas,Finance,Bordeaux,0,5,2664,1,0
1051,2022-02-21 12:00:00,329.01,Repas,Ventes,Marseille,1,8,5837,1,0
1011,2022-02-21 18:00:00,260.87,Repas,Direction,Marseille,0,9,5850,0,1
1038,2022-02-22 00:00:00,149.15,Hébergement,IT,Dubai,2,7,3487,1,0
1129,2022-02-22 06:00:00,292.92,Repas,RH,Bordeaux,1,14,5029,0,0
1130,2022-02-22 12:00:00,229.71,Formation,IT,Dubai,3,17,7112,1,0
1112,2022-02-22 18:00:00,84.05,Fournitures,Ventes,Paris,1,4,6677,1,0
1100,2022-02-23 00:00:00,33.67,Formation,Ventes,Marseille,3,17,6714,1,0
1112,2022-02-23 06:00:00,108.29,Repas,Marketing,Bordeaux,3,0,6345,1,0
1183,2022-02-23 12:00:00,199.9,Transport,IT,Paris,1,1,3826,1,0
1080,2022-02-23 18:00:00,86.02,Transport,Ventes,Bordeaux,3,9,5786,1,0
1186,2022-02-24 00:00:00,164.84,Repas,IT,Paris,1,5,2527,1,0
1112,2022-02-24 06:00:00,14.86,Hébergement,Ventes,Bordeaux,2,18,4524,1,0
1001,2022-02-24 12:00:00,206.75,Hébergement,RH,Toulouse,2,10,7093,1,0
1129,2022-02-24 18:00:00,251.27,Fournitures,Ventes,Paris,0,17,2693,1,0
1053,2022-02-25 00:00:00,184.05,Hébergement,IT,Marseille,2,15,3091,1,0
1086,2022-02-25 06:00:00,512.89,Hébergement,Marketing,Toulouse,3,7,4989,1,0
1128,2022-02-25 12:00:00,262.87,Fournitures,IT,Toulouse,0,3,4357,1,0
1146,2022-02-25 18:00:00,350.1,Fournitures,Finance,Lyon,0,10,7655,0,1
1125,2022-02-26 00:00:00,406.74,Hébergement,IT,Londres,1,9,2612,1,0
1129,2022-02-26 06:00:00,242.43,Fournitures,RH,Marseille,0,15,3817,1,0
1052,2022-02-26 12:00:00,168.25,Téléphone,Direction,Marseille,1,11,4237,1,0
1171,2022-02-26 18:00:00,0.86,Hébergement,RH,Paris,0,2,4561,1,0
1159,2022-02-27 00:00:00,94.05,Transport,RH,Dubai,2,10,4190,0,0
1197,2022-02-27 06:00:00,127.0,Transport,Ventes,Paris,1,15,6168,1,0
1159,2022-02-27 12:00:00,54.37,Repas,RH,Marseille,3,2,3894,1,0
1067,2022-02-27 18:00:00,57.43,Hébergement,IT,Bordeaux,0,9,5668,1,0
1182,2022-02-28 00:00:00,487.24,Formation,Direction,Paris,2,15,6059,1,0
1183,2022-02-28 06:00:00,333.44,Fournitures,Marketing,Marseille,2,6,7961,1,0
1122,2022-02-28 12:00:00,283.75,Fournitures,RH,Paris,1,14,4736,1,0
1144,2022-02-28 18:00:00,78.13,Formation,IT,Bordeaux,1,14,6383,1,0
1037,2022-03-01 00:00:00,2.07,Téléphone,Ventes,Marseille,1,9,5751,1,0
1023,2022-03-01 06:00:00,12.54,Hébergement,Ventes,Londres,3,2,7553,1,0
1068,2022-03-01 12:00:00,56.14,Transport,Marketing,Londres,3,5,6432,1,0
1115,2022-03-01 18:00:00,2.38,Repas,Marketing,Toulouse,3,17,5514,1,0
1097,2022-03-02 00:00:00,2.59,Hébergement,IT,Toulouse,0,4,5986,0,1
1197,2022-03-02 06:00:00,372.62,Repas,Marketing,Marseille,3,15,3628,1,0
1138,2022-03-02 12:00:00,183.71,Repas,Marketing,Lyon,1,12,4196,1,0
1143,2022-03-02 18:00:00,55.43,Téléphone,Ventes,Toulouse,2,2,2632,1,0
1096,2022-03-03 00:00:00,21.35,Hébergement,IT,Dubai,2,14,7165,1,0
1123,2022-03-03 06:00:00,107.5,Fournitures,Direction,Lyon,1,19,6720,1,0
1186,2022-03-03 12:00:00,0.8,Hébergement,Marketing,Lyon,3,5,7630,1,0
1069,2022-03-03 18:00:00,418.1,Repas,IT,Lyon,3,3,6039,1,0
1092,2022-03-04 00:00:00,80.37,Transport,RH,Lyon,1,14,5488,1,0
1002,2022-03-04 06:00:00,77.21,Téléphone,Ventes,Paris,2,17,6802,0,0
1147,2022-03-04 12:00:00,74.29,Transport,Direction,Marseille,0,8,5793,0,1
1186,2022-03-04 18:00:00,10.78,Repas,Ventes,Marseille,2,19,2811,1,0
1163,2022-03-05 00:00:00,152.55,Transport,Ventes,Marseille,3,3,4929,1,0
1146,2022-03-05 06:00:00,198.08,Hébergement,Finance,Lyon,2,15,4285,1,0
1089,2022-03-05 12:00:00,169.11,Repas,IT,Toulouse,3,17,7934,1,0
1194,2022-03-05 18:00:00,22.35,Hébergement,RH,Londres,2,4,6891,1,0
1146,2022-03-06 00:00:00,129.71,Transport,Marketing,New York,1,12,2901,1,0
1147,2022-03-06 06:00:00,126.42,Hébergement,RH,Marseille,3,5,4096,1,0
1095,2022-03-06 12:00:00,304.21,Repas,IT,Paris,0,18,2621,0,1
1198,2022-03-06 18:00:00,71.49,Repas,Ventes,New York,0,11,3250,1,0
1051,2022-03-07 00:00:00,69.66,Transport,Finance,Toulouse,1,14,2605,1,0
1160,2022-03-07 06:00:00,144.56,Repas,IT,Lyon,2,8,3559,0,0
1167,2022-03-07 12:00:00,150.39,Transport,Direction,Paris,1,6,6667,1,0
1127,2022-03-07 18:00:00,95.03,Repas,Direction,Paris,1,13,7163,1,0
1038,2022-03-08 00:00:00,87.79,Hébergement,IT,Paris,0,18,5738,1,0
1081,2022-03-08 06:00:00,102.23,Repas,Marketing,Paris,0,19,3744,1,0
1103,2022-03-08 12:00:00,296.04,Hébergement,RH,Dubai,3,15,2575,1,0
1128,2022-03-08 18:00:00,92.75,Formation,RH,Marseille,3,3,3509,0,0
1010,2022-03-09 00:00:00,421.84,Hébergement,Marketing,Toulouse,3,11,5782,1,0
1184,2022-03-09 06:00:00,105.18,Transport,Finance,Bordeaux,1,17,4775,0,0
1177,2022-03-09 12:00:00,446.98,Hébergement,Ventes,Bordeaux,1,7,6308,1,0
1150,2022-03-09 18:00:00,268.31,Téléphone,Ventes,Londres,3,16,2952,1,0
1158,2022-03-10 00:00:00,67.51,Repas,Direction,New York,0,2,3265,1,0
1041,2022-03-10 06:00:00,298.87,Repas,Finance,Lyon,0,3,7082,1,0
1098,2022-03-10 12:00:00,17.49,Téléphone,Marketing,New York,2,9,5215,1,0
1006,2022-03-10 18:00:00,388.63,Téléphone,IT,Toulouse,3,15,3997,1,0
1143,2022-03-11 00:00:00,149.81,Repas,RH,Paris,1,19,6446,1,0
1089,2022-03-11 06:00:00,8.39,Transport,IT,Toulouse,2,1,6232,1,0
1111,2022-03-11 12:00:00,155.03,Fournitures,RH,Toulouse,2,11,7425,1,0
1059,2022-03-11 18:00:00,548.88,Transport,IT,Dubai,2,15,5338,1,0
1112,2022-03-12 00:00:00,10.85,Repas,Marketing,Lyon,3,9,7566,1,0
1001,2022-03-12 06:00:00,121.35,Repas,Marketing,Marseille,3,4,2989,1,0
1128,2022-03-12 12:00:00,206.63,Fournitures,Finance,Paris,3,11,4923,1,0
1047,2022-03-12 18:00:00,249.31,Repas,IT,Lyon,0,2,4435,1,0
1139,2022-03-13 00:00:00,80.12,Repas,IT,Paris,2,11,5249,1,0
1196,2022-03-13 06:00:00,34.25,Formation,Finance,Marseille,0,0,5796,1,0
1036,2022-03-13 12:00:00,6.49,Transport,Finance,Bordeaux,3,1,7070,1,0
1159,2022-03-13 18:00:00,130.03,Hébergement,Marketing,Paris,0,10,6191,1,0
1008,2022-03-14 00:00:00,90.47,Repas,Marketing,Marseille,0,11,3603,1,0
1098,2022-03-14 06:00:00,445.64,Formation,Direction,Paris,1,6,4099,1,0
1146,2022-03-14 12:00:00,9.38,Transport,IT,Paris,3,0,5781,1,0
1047,2022-03-14 18:00:00,173.47,Transport,Marketing,Marseille,2,12,7791,1,0
1130,2022-03-15 00:00:00,3.79,Transport,Marketing,Paris,3,12,5660,1,0
1147,2022-03-15 06:00:00,28.21,Transport,IT,Marseille,0,1,6445,1,0
1151,2022-03-15 12:00:00,90.65,Téléphone,Finance,Paris,3,9,2725,0,0
1053,2022-03-15 18:00:00,91.01,Repas,IT,Paris,3,0,7303,1,0
1119,2022-03-16 00:00:00,173.61,Repas,Ventes,Marseille,1,6,4214,1,0
1160,2022-03-16 06:00:00,361.55,Repas,IT,Marseille,1,12,6649,0,0
1151,2022-03-16 12:00:00,152.84,Fournitures,Ventes,Paris,3,1,4743,1,0
1115,2022-03-16 18:00:00,460.36,Transport,IT,Marseille,1,19,5392,1,0
1074,2022-03-17 00:00:00,320.07,Hébergement,Ventes,Bordeaux,0,6,4845,1,0
1112,2022-03-17 06:00:00,131.74,Repas,Ventes,Toulouse,0,16,3078,1,0
1199,2022-03-17 12:00:00,269.18,Transport,IT,Paris,0,4,4198,1,0
1163,2022-03-17 18:00:00,154.33,Hébergement,Direction,Marseille,1,10,7095,1,0
1165,2022-03-18 00:00:00,12.27,Hébergement,Marketing,Toulouse,3,10,5171,1,0
1103,2022-03-18 06:00:00,202.39,Transport,RH,Paris,0,10,6801,1,0
1083,2022-03-18 12:00:00,14.96,Transport,Marketing,Londres,2,16,5427,1,0
1111,2022-03-18 18:00:00,135.24,Fournitures,Ventes,Dubai,0,18,7756,0,1
1098,2022-03-19 00:00:00,181.92,Transport,IT,Londres,3,7,2778,1,0
